-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.032,  0.148
-183.800, 80.198, 0.030,  0.181
-183.800, 80.196, 0.034,  0.214
-183.800, 80.193, 0.120,  0.247
-183.797, 80.185, 0.261,  0.280
-183.794, 80.173, 0.360,  0.313
-183.790, 80.159, 0.411,  0.346
-183.784, 80.143, 0.481,  0.379
-183.777, 80.126, 0.520,  0.412
-183.768, 80.109, 0.535,  0.445
-183.758, 80.092, 0.503,  0.478
-183.749, 80.078, 0.436,  0.511
-183.740, 80.065, 0.420,  0.544
-183.731, 80.052, 0.390,  0.577
-183.720, 80.039, 0.455,  0.610
-183.707, 80.023, 0.509,  0.643
-183.692, 80.003, 0.641,  0.676
-183.675, 79.982, 0.681,  0.709
-183.656, 79.960, 0.726,  0.742
-183.637, 79.937, 0.753,  0.775
-183.617, 79.914, 0.764,  0.808
-183.598, 79.893, 0.718,  0.841
-183.579, 79.873, 0.699,  0.874
-183.560, 79.853, 0.716,  0.907
-183.539, 79.832, 0.746,  0.940
-183.516, 79.809, 0.825,  0.973
-183.490, 79.784, 0.910,  1.006
-183.461, 79.757, 0.995,  1.039
-183.431, 79.728, 1.053,  1.072
-183.399, 79.699, 1.099,  1.105
-183.365, 79.670, 1.123,  1.138
-183.331, 79.642, 1.123,  1.171
-183.297, 79.614, 1.106,  1.204
-183.263, 79.588, 1.107,  1.237
-183.229, 79.561, 1.128,  1.270
-183.193, 79.533, 1.179,  1.303
-183.155, 79.504, 1.259,  1.336
-183.115, 79.473, 1.343,  1.369
-183.074, 79.441, 1.413,  1.402
-183.030, 79.407, 1.466,  1.435
-182.987, 79.374, 1.498,  1.468
-182.943, 79.340, 1.512,  1.501
-182.899, 79.307, 1.507,  1.534
-182.856, 79.275, 1.489,  1.567
-182.814, 79.243, 1.484,  1.600
-182.771, 79.211, 1.497,  1.633
-182.727, 79.179, 1.542,  1.666
-182.681, 79.145, 1.623,  1.699
-182.632, 79.109, 1.710,  1.732
